fiscal_year,department,course_number,course_name,a_plus,a,a_minus,b_plus,b,b_minus,c_plus,c,c_minus,d,p_plus,p,f,w,wf,i,gpa_count,non_gpa_count,unknown_count,total_count,source_sheet,source_row,notes,unlabeled_18
2025,Mathematics,MAT142,Mathematical Investigations IV,0,26,10,5,10,6,5,9,6,6,0,0,0,1,0,0,83,1,0,84,FY25,20,,
2025,Mathematics,MAT211,AB Calculus I,0,5,9,3,11,8,0,1,0,0,0,0,0,0,0,0,37,0,0,37,FY25,21,,
2025,Mathematics,MAT222,AB Calculus II,0,5,8,4,8,5,4,2,1,0,0,0,0,0,0,1,37,1,0,38,FY25,22,,
2025,Mathematics,MAT311,BC Calculus I,0,2,5,5,10,7,5,2,6,6,0,0,0,0,0,0,48,0,0,48,FY25,23,,
2025,Mathematics,MAT312,BC Calculus I,0,9,12,12,11,9,8,8,5,15,0,0,0,0,0,0,89,0,0,89,FY25,24,,
2025,Mathematics,MAT321,BC Calculus II,0,13,11,13,17,8,9,7,2,4,0,0,0,0,0,0,84,0,0,84,FY25,25,,
2025,Mathematics,MAT322,BC Calculus II,0,4,8,3,5,10,6,5,2,0,0,0,0,0,0,0,43,0,0,43,FY25,26,,
2025,Mathematics,MAT331,BC Calculus III,0,13,5,2,1,2,0,1,1,0,0,0,0,0,0,0,25,0,0,25,FY25,27,,
2025,Mathematics,MAT332,BC Calculus III,0,13,12,12,13,9,11,7,3,0,0,0,0,0,0,0,80,0,0,80,FY25,28,,
2025,Mathematics,MAT361,BC Calculus I/II,0,8,2,5,4,1,0,1,1,0,0,0,0,0,0,0,22,0,0,22,FY25,29,,
2025,Mathematics,MAT371,BC Calculus II/III,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26,FY25,30,,
2025,Mathematics,MAT403,Introduction to Proofs,0,12,6,3,5,1,0,1,1,1,0,1,0,1,0,0,30,2,0,32,FY25,31,,
2025,Mathematics,MAT411,Statistical Exploration and Description,0,60,8,0,6,1,0,0,0,0,0,0,0,1,0,0,75,1,0,76,FY25,32,,
2025,Mathematics,MAT412,Statistical Experimentation & Inference,0,43,3,2,6,0,0,0,0,0,0,0,0,0,0,0,54,0,0,54,FY25,33,,
2025,Mathematics,MAT421,Number Theory,0,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,FY25,34,,
2025,Mathematics,MAT435,Discrete Mathematics,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,FY25,35,,
2025,Mathematics,MAT441,Multi-Variable Calculus,0,12,1,2,4,2,2,0,0,0,0,0,0,0,0,0,23,0,0,23,FY25,36,,
2025,Mathematics,MAT442,Multi-Variable Calculus,0,20,15,5,6,4,0,3,1,1,0,0,0,0,0,0,55,0,0,55,FY25,37,,
2025,Mathematics,MAT452,Differential Equations,0,49,1,2,4,0,2,0,2,0,0,2,0,0,0,0,60,2,0,62,FY25,38,,
2025,Mathematics,MAT473,Linear Algebra,0,42,9,9,4,5,2,0,1,0,0,1,0,0,0,0,72,1,0,73,FY25,39,,
2025,Mathematics,MAT474,Abstract Algebra,0,2,5,2,2,4,1,0,1,0,0,1,0,0,0,0,17,1,0,18,FY25,40,,
2025,Mathematics,MAT811,Independent Study in Mathematics,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,8,FY25,41,,
2025,Mathematics,MAT812,Independent Study in Mathematics,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,9,FY25,42,,
2025,English,ENG101,Literary Explorations I,0,67,66,35,29,9,2,7,1,0,0,0,0,1,0,0,216,1,0,217,FY25,43,,
2025,English,ENG102,Literary Explorations II,0,93,54,22,26,6,7,2,1,0,0,0,0,2,0,0,211,2,0,213,FY25,44,,
2025,English,ENG201a,Literary Explorations III: American,0,20,10,6,4,2,1,1,0,0,0,0,0,0,0,0,44,0,0,44,FY25,45,,
2025,English,ENG201b,Literary Explorations III: British,0,25,13,6,6,1,0,0,0,0,0,0,0,1,0,0,51,1,0,52,FY25,46,,
2025,English,ENG201c,Literary Explorations III: World,0,33,47,21,12,6,3,1,2,1,0,0,0,2,0,0,126,2,0,128,FY25,47,,
2025,English,ENG212,Creative Writing Workshop,0,45,20,6,7,1,1,0,0,0,0,0,0,0,0,0,80,0,0,80,FY25,48,,
2025,English,ENG242,Modern Theater,0,4,7,3,1,1,0,2,0,0,0,0,0,0,0,1,18,1,0,19,FY25,49,,
2025,English,ENG301,Modern World Fiction,0,25,11,7,1,1,1,0,0,0,0,0,0,0,0,0,46,0,0,46,FY25,50,,
2025,English,ENG315,Shakespeare,0,14,1,2,1,0,0,1,0,0,0,0,0,0,0,0,19,0,0,19,FY25,51,,
2025,English,ENG325,Digital Literary Studies,0,22,13,5,3,2,2,1,0,0,0,0,0,0,0,0,48,0,0,48,FY25,52,,
2025,English,ENG341,Gender Studies,0,33,10,3,1,2,1,0,0,0,0,0,0,0,0,0,50,0,0,50,FY25,53,,
2025,English,ENG351,Graphic Novels: Image and Text,0,12,16,7,7,1,1,1,1,1,0,0,0,0,0,0,47,0,0,47,FY25,54,,
2025,English,ENG365,Speculative Fiction Studies,0,25,27,15,16,4,0,3,0,0,0,0,0,1,0,0,90,1,0,91,FY25,55,,
2025,English,ENG401b,Authors & Topics: Satire,0,10,32,24,10,7,2,0,1,2,0,0,0,0,0,0,88,0,0,88,FY25,56,,
2025,English,ENG401e,Authors & Topics: Banned Books,0,6,21,9,4,6,0,2,1,1,0,0,0,0,0,0,50,0,0,50,FY25,57,,
2025,English,ENG401f,Authors & Topics: Literary Adaptations,0,64,18,6,5,2,1,1,1,1,0,0,0,0,0,0,99,0,0,99,FY25,58,,
2025,English,ENG512,Victorian Fiction,0,1,6,6,5,1,0,0,0,0,0,0,0,0,0,0,19,0,0,19,FY25,59,,
2025,Fine Arts,FAR100,Concert Band,0,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,39,FY25,60,,
2025,Fine Arts,FAR110,Wind Ensemble,0,45,1,1,0,0,0,0,0,0,0,0,0,1,0,0,47,1,0,48,FY25,61,,
2025,Fine Arts,FAR120,String Orchestra,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,FY25,62,,
2025,Fine Arts,FAR130,Chamber Strings,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,32,FY25,63,,
2025,Fine Arts,FAR200,Concert Choir,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22,FY25,64,,
